TiO2_wt,TiO2_fine_frac,TiO2_fine_wt,TiO2_coarse_wt,ZrO2_wt,BaSO4_wt,SiO2_wt,Lime_wt,K_solar,K_vis,K_NIR1,K_NIR2,NIR2_NIR1,ZrO2_present,rank
20,0.7,14.0,6.0,10,20.0,5.0,45.0,11.042880846394038,11.662990123540217,11.799769960114903,4.843617888895494,0.41048409462792007,True,35
25,0.6,15.0,10.0,5,15.0,5.0,50.0,10.994504105458176,11.475588748464013,11.744672940888883,5.468708399947231,0.4656330940394274,True,36
25,0.7,17.5,7.5,0,20.0,5.0,50.0,10.961670562901352,11.441404569188643,11.940462700215013,4.527998653106398,0.3792146725624679,False,37
30,0.5,15.0,15.0,0,15.0,5.0,50.0,10.938614262423389,11.261043110124486,11.625757645656806,6.40295234877727,0.5507557050416675,False,38
20,0.5,10.0,10.0,15,20.0,5.0,40.0,10.86962642977702,11.445062605982992,11.269954740156066,6.309346808929624,0.5598378125201107,True,39
25,0.4,10.0,15.0,10,20.0,5.0,40.0,10.810034480005307,11.212167556469215,11.145089592295925,7.316969065403005,0.6565195375783144,True,40
20,0.7,14.0,6.0,10,15.0,5.0,50.0,10.679630763042748,11.279341853362176,11.411622385115262,4.684289482989746,0.41048409462792024,True,41
25,0.7,17.5,7.5,0,15.0,5.0,55.0,10.617733128730292,11.082414823213442,11.565814321543046,4.385926490862248,0.37921467256246794,False,42
20,0.5,10.0,10.0,15,15.0,5.0,45.0,10.497272339848074,11.052996153804282,10.883886850158001,6.093211405908852,0.5598378125201106,True,43
25,0.4,10.0,15.0,10,15.0,5.0,45.0,10.443019919326378,10.831500061133529,10.766699480034067,7.068548563876644,0.6565195375783144,True,44
25,0.5,12.5,12.5,5,20.0,5.0,45.0,10.412726431555644,10.800452066271168,10.977343275709949,6.078260894023693,0.5537096491710639,True,45
20,0.6,12.0,8.0,10,20.0,5.0,45.0,10.274137942753132,10.805802966126533,10.860848369802023,5.186803621106375,0.4775689195263963,True,46
30,0.4,12.0,18.0,0,20.0,5.0,45.0,10.17125262009111,10.374115651754275,10.630565705990493,7.122673271902774,0.6700182726765928,False,47
25,0.5,12.5,12.5,5,15.0,5.0,50.0,10.073135330990674,10.448216037802272,10.619338279729186,5.880030073297697,0.5537096491710639,True,48
20,0.4,8.0,12.0,15,20.0,5.0,40.0,10.06792750950214,10.551127825814858,10.290781571062045,6.6672449172102155,0.6478851845382364,True,49
