TiO2_wt,TiO2_fine_frac,ZrO2_wt,CaSO4_wt,SiO2_wt,Lime_wt,K_solar,eps_window,dual_obj,pareto_flag,eps_flag,row_rank
25,0.7,5,15.0,5.0,50.0,3.52759411158249,0.8998511458883858,0.8709973080382629,False,False,24
25,0.6,10,15.0,5.0,45.0,3.518357352927037,0.8998601309630567,0.8700124713465505,False,False,25
25,0.5,15,15.0,5.0,40.0,3.508371105624667,0.899868093077983,0.8689467632012349,False,False,26
30,0.5,0,25.0,5.0,40.0,3.425593653558732,0.9092156812086952,0.8651980438820742,False,False,27
25,0.7,0,25.0,5.0,45.0,3.351783752723205,0.9098833152004255,0.8576547638691605,False,False,28
30,0.5,0,20.0,5.0,45.0,3.373603883023909,0.9050390347764372,0.857338858293992,False,False,29
25,0.6,5,25.0,5.0,40.0,3.3358147860938074,0.9093739882408179,0.8556645746464582,False,False,30
20,0.7,15,20.0,5.0,40.0,3.358420056031888,0.90494650278208,0.8556611490612973,False,False,31
25,0.7,0,20.0,5.0,50.0,3.3023759533860404,0.9054465817605912,0.849929754382337,False,False,32
30,0.5,0,15.0,5.0,50.0,3.323168603588587,0.8998542664896314,0.849093925080608,False,False,33
30,0.4,5,20.0,5.0,40.0,3.2970663270028315,0.9047712726464738,0.8489908239768286,False,False,34
25,0.6,5,20.0,5.0,45.0,3.2847688989592885,0.9051350946741764,0.8478724270749427,False,False,35
20,0.7,15,15.0,5.0,45.0,3.3053804338420285,0.899857258935976,0.8471894838928276,False,False,36
25,0.5,10,20.0,5.0,40.0,3.2657670345359127,0.9048573078465053,0.8456841030488341,False,False,37
25,0.7,0,15.0,5.0,55.0,3.2544036101812193,0.8998409271779744,0.841718145288403,False,False,38
30,0.4,5,15.0,5.0,45.0,3.2458695932645987,0.8998628896962089,0.8408157203982669,False,False,39
25,0.6,5,15.0,5.0,50.0,3.235261712612756,0.8998511458883856,0.839672605250513,False,False,40
25,0.5,10,15.0,5.0,45.0,3.2146271624446423,0.8998601309630566,0.8374664450488882,False,False,41
25,0.4,15,15.0,5.0,40.0,3.1923182845537705,0.899868093077983,0.8350803128174693,False,False,42
20,0.7,10,25.0,5.0,40.0,3.122926741100325,0.9095378291320771,0.8329424471955404,False,False,43
20,0.6,15,20.0,5.0,40.0,3.109429724890756,0.90494650278208,0.8289807395428612,False,False,44
30,0.4,0,25.0,5.0,40.0,3.0669042187916298,0.9092156812086952,0.8267628927432205,False,False,45
25,0.6,0,25.0,5.0,45.0,3.0615936988368944,0.9098833152004255,0.8265596227832391,False,False,46
20,0.7,10,20.0,5.0,45.0,3.074740050925468,0.9052348881551042,0.8254215856012527,False,False,47
25,0.5,5,25.0,5.0,40.0,3.034396593205177,0.9093739882408179,0.8233662890635642,False,False,48
20,0.6,15,15.0,5.0,45.0,3.060322413987847,0.899857258935976,0.8209304388306295,False,False,49
30,0.4,0,20.0,5.0,45.0,3.020358229187284,0.9050390347764371,0.8194870322340204,False,False,50
25,0.6,0,20.0,5.0,50.0,3.0164635179291426,0.9054465817605912,0.8192929789322909,False,False,51
20,0.7,10,15.0,5.0,50.0,3.028017803546701,0.8998478887195293,0.817463724038048,False,False,52
25,0.5,5,20.0,5.0,45.0,2.987963120140715,0.9051350946741764,0.8160683819538921,False,False,53
25,0.4,10,20.0,5.0,40.0,2.9572049545974113,0.9048573078465052,0.81262031853604,False,False,54
30,0.4,0,15.0,5.0,50.0,2.9752039619508794,0.8998542664896314,0.811807982713763,False,False,55
25,0.6,0,15.0,5.0,55.0,2.972644514523869,0.8998409271779744,0.8115264184722268,False,False,56
25,0.5,5,15.0,5.0,50.0,2.9429293136430217,0.8998511458883858,0.8083479024627633,False,False,57
20,0.6,10,25.0,5.0,40.0,2.8797499044440977,0.9095378291320771,0.8068849791900522,False,False,58
25,0.4,10,15.0,5.0,45.0,2.9108969719622473,0.8998601309630567,0.8049204187512262,False,False,59
