wavelength_nm,R_ELW-1,R_ELW-2,R_ELW-3,R_ELW-4,R_ELW-5,R_ELW-C,R_plain_lime_lit,R_purdue_benchmark,AM1.5G_irr_W_m2_nm
1110.0,0.9889276899005862,0.9885543780647198,0.988259847193741,0.987637429578063,0.9874946983794862,0.9877957198248143,0.65,0.981,0.47899
1120.0,0.988933241203557,0.988560255672389,0.9883064535147553,0.9876434605866559,0.9875942899481446,0.9878021817422523,0.65,0.981,0.14189
1130.0,0.9889729987662478,0.9886017163518588,0.9884107709948275,0.9876879152830704,0.987780040528324,0.9878469459667995,0.65,0.981,0.070574
1140.0,0.9889936224684251,0.9886219835963348,0.9884923520862934,0.9877129521943839,0.9879368691683353,0.9878674290078847,0.65,0.981,0.25599
1150.0,0.9888942397164385,0.9885134723332294,0.9884044105428391,0.9876095121555074,0.9878634226968529,0.9877447975265251,0.65,0.981,0.12164
1160.0,0.988654558309444,0.9882545340144094,0.9881191011376811,0.987355625412517,0.9875237344148814,0.9874551032808095,0.65,0.981,0.28648
1170.0,0.9883542921730675,0.9879306118094949,0.987753074612018,0.9870367587690414,0.9870781128927888,0.987093165924474,0.65,0.981,0.45873
1180.0,0.9880566011851876,0.987609776483138,0.9874003648808365,0.9867200792306876,0.9866583695587511,0.9867349713378589,0.65,0.981,0.44069
1190.0,0.9877795261418056,0.9873116262695234,0.9870890130029762,0.9864245535184238,0.9863057693829446,0.9864025881855224,0.65,0.981,0.46239
1200.0,0.9875215655352713,0.9870344505919265,0.9868169985804923,0.9861487517925572,0.9860181082700242,0.986094018539567,0.65,0.981,0.44825
1210.0,0.9872772868742332,0.9867721278779993,0.986575460784785,0.985887326380458,0.9857821764171276,0.9858021365304633,0.65,0.981,0.45336
1220.0,0.9870417607312618,0.9865190811569915,0.9863557730755922,0.9856354516607565,0.9855843903874589,0.9855204205562376,0.65,0.981,0.45805
1230.0,0.9868113274025799,0.9862711921358913,0.9861509997922455,0.9853895059614587,0.9854133345194916,0.9852440753638214,0.65,0.981,0.46003
1240.0,0.9865836931064065,0.9860259101483222,0.9859561853056152,0.9851471690010345,0.9852604064556784,0.9849701620068289,0.65,0.981,0.46077
1250.0,0.986358051268392,0.9857823577176256,0.9857685789577031,0.9849075924502497,0.9851202020136179,0.9846976891215242,0.65,0.981,0.45705
1260.0,0.9861352863978785,0.9855415283274849,0.9855879237202257,0.9846716525978256,0.9849908827122541,0.9844278103941052,0.65,0.981,0.4311
1270.0,0.9859181772523505,0.9853064978282037,0.9854167085870984,0.9844421795014293,0.9848744296641658,0.9841640534101934,0.65,0.981,0.38744
1280.0,0.9857114698112122,0.9850825085438262,0.9852602114392545,0.9842240273363725,0.9847765787661894,0.9839124210307788,0.65,0.981,0.42204
1290.0,0.9855216326731925,0.9848767160080485,0.9851260778138522,0.9840237991270075,0.9847061228324002,0.9836811212685058,0.65,0.981,0.41285
1300.0,0.9853559851355285,0.9846972503567627,0.9850230198022932,0.9838489176463013,0.9846730668206275,0.983479520278704,0.65,0.981,0.35312
1310.0,0.9852206846402385,0.9845510184920645,0.9849579734957349,0.9837055271577696,0.9846848507635974,0.9833156528412766,0.65,0.981,0.30114
1320.0,0.9851169702773019,0.9844395762956318,0.9849310171815515,0.9835946147745456,0.9847399177373136,0.9831915168317988,0.65,0.981,0.25872
1330.0,0.9850358304330341,0.9843532572071025,0.9849285105886766,0.9835065233689523,0.984819496719699,0.9830963665778902,0.65,0.981,0.22923
1340.0,0.9849540148210272,0.9842667727662648,0.9849185223237378,0.9834168623435408,0.9848828466141006,0.9830016791663289,0.65,0.981,0.16831
1350.0,0.984837832157416,0.9841433430195673,0.9848566546189007,0.9832904954024965,0.9848754261833365,0.9828658143665379,0.65,0.981,0.016025
1360.0,0.9846582900164358,0.9839512246735539,0.9847058571598605,0.983097332054074,0.9847531040251082,0.9826527267201731,0.65,0.981,2.1404e-06
1370.0,0.9844079029719901,0.9836820708301237,0.9844573111031999,0.9828298377367732,0.9845063797172723,0.9823527608549667,0.65,0.981,2.92e-07
1380.0,0.9841031428924262,0.9833536697317826,0.9841328645457529,0.9825054886830504,0.9841624657148941,0.9819858268134012,0.65,0.981,8.1587e-05
1390.0,0.9837718317415503,0.9829962716083621,0.9837688999404826,0.9821534880480506,0.9837659669903598,0.9815860292857004,0.65,0.981,0.00049328
1400.0,0.9834393955701066,0.982637611143943,0.9833989207224173,0.9818003885313431,0.9833582310855952,0.9811847468474545,0.65,0.981,3.2466e-09
1410.0,0.9831228879050382,0.9822963477353021,0.9830458196097183,0.9814639128242356,0.9829679865350647,0.9808031625450313,0.65,0.981,0.00046653
1420.0,0.9828313915312058,0.9819824614594164,0.9827222086398856,0.9811534364177041,0.9826115158914163,0.9804526593014646,0.65,0.981,0.0082718
1430.0,0.9825685726687106,0.9817000190613328,0.9824335880862307,0.9808726847957174,0.98229632969474,0.9801379233341803,0.65,0.981,0.061601
1440.0,0.9823349917178635,0.9814496897994696,0.9821812950737564,0.9806221536571182,0.9820246893542544,0.9798597839724572,0.65,0.981,0.039601
1450.0,0.9821295926430055,0.981230370177359,0.9819644392428579,0.9804006643178421,0.9817959663943449,0.9796170518326117,0.65,0.981,0.027412
1460.0,0.9819505291858938,0.9810400854920149,0.9817809940211296,0.9802062262519451,0.9816079975896831,0.9794075393988444,0.65,0.981,0.085421
1470.0,0.98179560011164,0.9808764646141721,0.9816283820163175,0.980036491737306,0.9814578280998645,0.979228598505546,0.65,0.981,0.049678
1480.0,0.9816624889595276,0.9807370018204118,0.9815038050165644,0.9798890058517358,0.9813421421534806,0.9790774172374873,0.65,0.981,0.060637
1490.0,0.9815489137472344,0.9806192210031646,0.9814044551573824,0.9797613615009318,0.9812575462789481,0.9789512070543632,0.65,0.981,0.17478
1500.0,0.9814527320451726,0.9805207915877157,0.9813276656722475,0.9796513072268342,0.9812007750628949,0.9788473356925963,0.65,0.981,0.25061
1510.0,0.9813720155271592,0.9804396110368314,0.9812710185985309,0.9795568232850128,0.9811688392403005,0.9787634220825178,0.65,0.981,0.27052
1520.0,0.9813050950335999,0.9803738545342883,0.9812324100345677,0.9794761678861503,0.981159115974142,0.9786973933211418,0.65,0.981,0.2645
1530.0,0.9812505731061026,0.9803219881430127,0.9812100688821431,0.979407891029063,0.9811693764628747,0.9786474990700847,0.65,0.981,0.25522
1540.0,0.9812073000114958,0.9802827409674632,0.9812025245632042,0.9793508119988269,0.981197746510716,0.9786122781986326,0.65,0.981,0.26491
1550.0,0.9811743087491883,0.9802550316073344,0.9812085192989943,0.9793039555842816,0.9812425967470314,0.9785904726104591,0.65,0.981,0.2699
1560.0,0.9811507040853126,0.9802378440628375,0.9812268607376438,0.9792664410635098,0.9813023602435541,0.9785808834792892,0.65,0.981,0.26568
1570.0,0.9811355016501815,0.9802300496802854,0.9812562127919127,0.9792373185239222,0.9813752785350994,0.9785821671306633,0.65,0.981,0.24175
1580.0,0.9811274181742129,0.9802301774448232,0.9812948297118075,0.979215351984144,0.981459086223984,0.9785925745186782,0.65,0.981,0.24464
1590.0,0.9811246261957256,0.9802361482564652,0.981340254291685,0.9791987615820583,0.981550663305909,0.9786096532454507,0.65,0.981,0.24179
1600.0,0.9811245082639203,0.9802450120418539,0.9813890277080625,0.979184960300131,0.981645714626902,0.9786299567725134,0.65,0.981,0.2381
1610.0,0.9811234749546932,0.9802527575948166,0.9814364924881175,0.979170352517717,0.9817385725269716,0.9786488394694728,0.65,0.981,0.2176
1620.0,0.9811169377870712,0.9802542929662812,0.9814767982391592,0.9791502914165394,0.9818222457191343,0.9786604462042751,0.65,0.981,0.23449
1630.0,0.9810995317109124,0.9802436969059594,0.9815032172962254,0.9791192978082742,0.9818888272960469,0.9786580067731537,0.65,0.981,0.23651
1640.0,0.9810656374265698,0.9802147929774537,0.9815088172253225,0.979071597384261,0.9819302999421531,0.9786344897247061,0.65,0.981,0.21511
1650.0,0.9810101523842402,0.9801619884549482,0.9814874132582395,0.979001926194198,0.981939635445538,0.978583547690426,0.65,0.981,0.22526
1660.0,0.9809293322163771,0.9800811841634255,0.9814345775126974,0.9789064178896459,0.9819119282742862,0.9785005358787124,0.65,0.981,0.22332
1670.0,0.9808214441948964,0.9799704769676669,0.9813483981057262,0.9787832984314461,0.9818452218060134,0.9783832934627748,0.65,0.981,0.22168
1680.0,0.9806870098862857,0.9798304166556021,0.9812297341987586,0.9786331492483207,0.981740755564412,0.9782324242961922,0.65,0.981,0.20558
1690.0,0.9805285657638031,0.9796637427307697,0.9810818957236035,0.9784586600772236,0.9816025678646499,0.9780509966189923,0.65,0.981,0.20523
1700.0,0.9803500543285806,0.9794747238400804,0.9809098896242675,0.9782639889497645,0.9814366203951397,0.9778438004514385,0.65,0.981,0.19975
1710.0,0.9801560696254746,0.9792683413823171,0.9807194999484548,0.9780539665366059,0.981249744475363,0.9776164325555485,0.65,0.981,0.1879
1720.0,0.979951175472034,0.9790495522190354,0.9805164594614615,0.9778333769479223,0.9810486950187635,0.9773744706834882,0.65,0.981,0.18698
1730.0,0.9797394270244609,0.9788227709095808,0.9803058668997686,0.9776064539415107,0.9808394833740234,0.9771228933617027,0.65,0.981,0.17407
1740.0,0.9795241239515471,0.9785916018299888,0.9800918837863152,0.9773766225156351,0.9806270274378406,0.9768657789185823,0.65,0.981,0.16818
1750.0,0.9793077539548337,0.9783587767518029,0.9798776623955178,0.9771464419096586,0.980415065680997,0.9766062341952202,0.65,0.981,0.16566
1760.0,0.9790920593749726,0.9781262254366347,0.9796654248043903,0.9769176785216115,0.9802062454812863,0.9763464721189247,0.65,0.981,0.15998
1770.0,0.9788781643708389,0.9778952118461481,0.9794566176990652,0.9766914424486114,0.9800023004208661,0.9760879628761736,0.65,0.981,0.14172
1780.0,0.9786667180456775,0.9776664877871909,0.979252088409517,0.9764683404524669,0.979804253932748,0.9758316048098683,0.65,0.981,0.1005
1790.0,0.9784580276637506,0.9774404360221637,0.9790522500111273,0.9762486181021969,0.9796126117308028,0.9755778837042233,0.65,0.981,0.088904
1800.0,0.9782521703395666,0.9772171902351654,0.9788572206146313,0.9760322789278645,0.9794275251698753,0.975327006282522,0.65,0.981,0.031828
1810.0,0.978049080427825,0.9769967288067252,0.9786669329089007,0.9758191777558943,0.9792489203936359,0.9750790044488479,0.65,0.981,0.0096911
1820.0,0.9778486144118959,0.9767789443042715,0.9784812158132692,0.9756090901930587,0.9790765950120612,0.9748338123682194,0.65,0.981,0.00098755
1830.0,0.9776505968946331,0.9765636925659734,0.9782998524912917,0.9754017621013978,0.9789102870123628,0.9745913207073545,0.65,0.981,5.2041e-06
1840.0,0.9774548515769198,0.976350825576696,0.9781226194554486,0.9751969431748071,0.9787497213083814,0.9743514127365884,0.65,0.981,6.2703e-08
1850.0,0.9772612206857256,0.9761402118902223,0.9779493110571428,0.9749944082587836,0.9785946389262866,0.9741139865121765,0.65,0.981,2.9993e-06
1860.0,0.9770695756580117,0.9759317476533073,0.9777797528971024,0.9747939693478075,0.9784448130005591,0.9738789665867259,0.65,0.981,1.1151e-05
1870.0,0.9768798212366954,0.9757253605892316,0.9776138069127785,0.9745954804997986,0.9783000548776856,0.9736463079214733,0.65,0.981,2.6662e-10
1880.0,0.9766918945894845,0.975521008710638,0.977451370233634,0.9743988373300126,0.9781602128605209,0.9734159940168737,0.65,0.981,7.7505e-05
1890.0,0.9765057606479857,0.9753186750805432,0.977292369381596,0.9742039723156966,0.9780251655269196,0.9731880307698616,0.65,0.981,0.00022333
1900.0,0.976321404575194,0.9751183596200603,0.9771367510263573,0.9740108468491071,0.9778948111191107,0.9729624371977889,0.65,0.981,8.6221e-07
1910.0,0.9761388220825051,0.9749200687475379,0.9769844702606608,0.9738194407962258,0.977769054201347,0.972739233916508,0.65,0.981,2.3045e-05
1920.0,0.9759580082085729,0.9747238035024794,0.976835477208155,0.9736297402235503,0.9776477905887598,0.9725184300961671,0.65,0.981,0.00045069
1930.0,0.9757789451178503,0.9745295467343427,0.9766897026897042,0.9734417239176492,0.9775308914296957,0.972300009519879,0.65,0.981,0.00055242
1940.0,0.975601589456544,0.9743372499031488,0.9765470436285996,0.9732553493181206,0.9774181872501354,0.9720839163181547,0.65,0.981,0.0032821
1950.0,0.9754258598037222,0.9741468200301711,0.9764073488534116,0.9730705384945584,0.9773094527217735,0.9718700409329827,0.65,0.981,0.016727
1960.0,0.9752516247629086,0.9739581073436939,0.9762704059463972,0.9728871648088309,0.9772043928811885,0.9716582068694408,0.65,0.981,0.021906
1970.0,0.9750786922498774,0.9737708941795188,0.9761359297776341,0.9727050409079804,0.9771026314972235,0.9714481588133984,0.65,0.981,0.048847
1980.0,0.9749068005401937,0.97358488571404,0.9760035533557192,0.9725239086862529,0.9770037022524034,0.9712395527253997,0.65,0.981,0.075512
1990.0,0.9747356116434931,0.9733997031255273,0.9758728216118371,0.972343431838004,0.976907043368852,0.9710319485562949,0.65,0.981,0.085613
2000.0,0.9745647075671121,0.9732148797899778,0.975743188711028,0.9721631915945637,0.9768119962649204,0.9708248062612753,0.65,0.981,0.038156
2010.0,0.9743935900129165,0.9730298611135519,0.975614019446104,0.9719826861956956,0.9767178087695882,0.9706174858021339,0.65,0.981,0.039748
2020.0,0.9742216840085488,0.9728440085705575,0.9754845952041805,0.9718013345817451,0.9766236433356149,0.9704092518065583,0.65,0.981,0.044981
2030.0,0.9740483458934024,0.9726566084378825,0.9753541248892225,0.97161848469415,0.9765285905650497,0.9701992834765252,0.65,0.981,0.084856
2040.0,0.9738728759445662,0.97246688557456,0.9752217610189718,0.9714334266234478,0.9764316881756532,0.9699866901839364,0.65,0.981,0.089781
2050.0,0.973694535722909,0.9722740223726395,0.9750866209763372,0.9712454106301084,0.9763319452792597,0.9697705329409492,0.65,0.981,0.067927
2060.0,0.9735125699363089,0.9720771826925584,0.9749478130759484,0.9710536697743314,0.9762283715063995,0.9695498515745719,0.65,0.981,0.069193
2070.0,0.9733262322575392,0.9718755401969758,0.9748044667113496,0.9708574465283867,0.9761200101030669,0.9693236969751844,0.65,0.981,0.065676
